Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
51,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
52,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
53,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
54,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
55,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
56,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
57,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
58,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
59,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
60,0.199206008,0.109769846,0.157061511,0.202190839,0.039632678,0.21061527,0.30742553,0.261232389,0.192814638,0.246699248,0.142575724,0.044288489,0.16429064,0.261144208,0.088483226,0.259726761,0.146052762,0.165294253
61,-0.008250875,0.008616549,-0.00430521,0.178538468,-0.009240344,0.223733868,0.237314314,0.23832649,0.204488579,0.237811011,-0.001141858,-0.0067196,0.173152979,0.235174159,-0.009367285,0.237001435,0.141213978,0.154775465
62,-0.008250875,0.008616549,-0.00430521,0.178538468,-0.009240344,0.223733868,0.237314314,0.23832649,0.204488579,0.237811011,-0.001141858,-0.0067196,0.173152979,0.235174159,-0.009367285,0.237001435,0.141213978,0.154775465
63,-0.008250875,0.008616549,-0.00430521,0.178538468,-0.009240344,0.223733868,0.237314314,0.23832649,0.204488579,0.237811011,-0.001141858,-0.0067196,0.173152979,0.235174159,-0.009367285,0.237001435,0.141213978,0.154775465
64,-0.008250875,0.008616549,-0.00430521,0.178538468,-0.009240344,0.223733868,0.237314314,0.23832649,0.204488579,0.237811011,-0.001141858,-0.0067196,0.173152979,0.235174159,-0.009367285,0.237001435,0.141213978,0.154775465
65,-0.008250875,0.008616549,-0.00430521,0.178538468,-0.009240344,0.223733868,0.237314314,0.23832649,0.204488579,0.237811011,-0.001141858,-0.0067196,0.173152979,0.235174159,-0.009367285,0.237001435,0.141213978,0.154775465
66,-0.008250875,0.008616549,-0.00430521,0.178538468,-0.009240344,0.223733868,0.237314314,0.23832649,0.204488579,0.237811011,-0.001141858,-0.0067196,0.173152979,0.235174159,-0.009367285,0.237001435,0.141213978,0.154775465
67,-0.008250875,0.008616549,-0.00430521,0.178538468,-0.009240344,0.223733868,0.237314314,0.23832649,0.204488579,0.237811011,-0.001141858,-0.0067196,0.173152979,0.235174159,-0.009367285,0.237001435,0.141213978,0.154775465
