Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
37,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168,-0.32133168
38,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097,-0.149843097
39,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074,0.03357074
40,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679,0.097892679
41,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797,0.14893797
42,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514,0.163181514
43,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409,0.16477409
44,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971,0.166702971
45,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911,0.157066911
46,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766,0.134182766
47,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973,0.07322973
48,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802,-0.001202802
49,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446,-0.001364446
50,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
51,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
52,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349,-0.004191349
53,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157,-0.004382157
54,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847,-0.069308847
55,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866,0.027765866
56,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002,-0.000717002
57,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
58,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
59,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
60,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309,-0.151981309
