Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
82,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
83,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
84,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
85,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
86,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
87,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
88,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
89,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
90,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
91,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
92,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
93,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
94,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
95,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
96,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
97,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
98,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
99,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
100,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
101,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
102,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
103,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
104,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
105,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
106,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
107,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
108,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
109,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
110,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
111,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
112,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
113,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
114,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
115,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
116,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
117,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
118,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
119,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
120,-0.018053268,-0.018044272,-0.006758354,0.08732826,-0.01142538,0.175111356,0.172551918,0.151272245,0.10619477,0.173402022,-0.011055887,-0.012624826,0.170731226,0.153964376,-0.017999902,0.130697844,0.088281282,0.146953641
121,-0.014539693,-0.008554003,-0.014947802,0.086300854,-0.010483233,0.147086688,0.148139678,0.135090791,0.10366603,0.159241498,-0.010263905,-0.011204886,0.152025232,0.160042448,-0.009069774,0.131116677,0.085829209,0.146697931
