Minute,Irradiance
921,0.7355
922,0.7322
923,0.730667
924,0.7302
925,0.726667
926,0.7268
927,0.725
928,0.724667
929,0.7198
930,0.7175
931,0.7194
932,0.715167
933,0.7168
934,0.715167
935,0.7116
936,0.706833
937,0.704833
938,0.7016
939,0.702333
940,0.7008
941,0.696
942,0.695
943,0.6935
944,0.6926
945,0.689667
946,0.689833
947,0.6894
948,0.685667
949,0.6842
950,0.6855
951,0.6792
952,0.6745
953,0.672667
954,0.6692
955,0.669333
956,0.6694
957,0.67
958,0.6672
959,0.665333
960,0.6624
961,0.658167
962,0.654667
963,0.6502
964,0.650167
965,0.648
966,0.643667
967,0.6418
968,0.6385
969,0.6358
970,0.634
971,0.6325
972,0.6296
973,0.628333
974,0.6288
975,0.626667
976,0.6258
977,0.622667
978,0.619167
979,0.612
980,0.610333
981,0.6044
982,0.604
983,0.6018
984,0.599
985,0.6
986,0.556667
987,0.568167
988,0.5952
989,0.590667
990,0.5866
991,0.5865
992,0.5834
993,0.581
994,0.5755
995,0.5758
996,0.573167
997,0.5718
998,0.568333
999,0.5648
1000,0.565167
1001,0.5632
1002,0.554167
1003,0.549833
1004,0.5472
1005,0.545667
1006,0.5466
1007,0.544833
1008,0.5448
1009,0.5125
1010,0.5112
1011,0.539167
1012,0.536667
1013,0.5312
1014,0.524833
1015,0.5194
1016,0.516
1017,0.5136
1018,0.509667
1019,0.508667
1020,0.5098
1021,0.508167
1022,0.5024
1023,0.501333
1024,0.4994
1025,0.494
1026,0.4906
1027,0.486
1028,0.4855
1029,0.4882
1030,0.487
1031,0.4858
1032,0.480833
1033,0.4796
1034,0.477
1035,0.472
1036,0.4668
1037,0.465
1038,0.4648
1039,0.462
1040,0.4572
1041,0.458
1042,0.4534
1043,0.451333
1044,0.4445
1045,0.4402
1046,0.435667
1047,0.4314
1048,0.432167
1049,0.43
1050,0.426833
1051,0.422667
1052,0.4206
1053,0.409667
1054,0.408
1055,0.406333
1056,0.4034
1057,0.399333
1058,0.3938
1059,0.389333
1060,0.388333
1061,0.387
1062,0.383667
1063,0.3788
1064,0.377667
1065,0.3738
1066,0.367
1067,0.366167
1068,0.3616
1069,0.357333
1070,0.3616
1071,0.358667
1072,0.3548
1073,0.354833
1074,0.3586
1075,0.357
1076,0.352833
1077,0.3482
1078,0.346167
1079,0.3432
1080,0.340833
1081,0.3384
1082,0.3355
1083,0.3304
1084,0.329333
1085,0.3254
1086,0.321333
1087,0.318667
1088,0.3138
1089,0.309667
1090,0.3054
1091,0.302667
1092,0.2996
1093,0.296167
1094,0.2965
1095,0.2932
1096,0.289333
1097,0.284
1098,0.283167
1099,0.282
1100,0.280667
1101,0.2766
1102,0.276
1103,0.2715
1104,0.2682
1105,0.266167
1106,0.2624
1107,0.256333
1108,0.2522
1109,0.2495
1110,0.2498
1111,0.243833
1112,0.239667
1113,0.2386
1114,0.2345
1115,0.2302
1116,0.227167
1117,0.2236
1118,0.221
1119,0.218167
1120,0.2136
1121,0.209333
1122,0.2092
1123,0.202833
1124,0.1976
1125,0.199333
1126,0.1938
1127,0.199667
1128,0.195167
1129,0.1918
1130,0.192
1131,0.1928
1132,0.190833
1133,0.186
1134,0.184167
1135,0.182667
1136,0.1816
1137,0.1835
1138,0.1826
1139,0.180667
1140,0.1774
1141,0.1755
1142,0.174
1143,0.172167
1144,0.1695
1145,0.1676
1146,0.166667
1147,0.164
1148,0.161333
1149,0.1574
1150,0.151167
1151,0.1486
1152,0.149667
1153,0.1465
1154,0.1436
1155,0.140333
1156,0.1386
1157,0.1325
1158,0.131
1159,0.132
1160,0.130167
1161,0.1274
1162,0.124333
1163,0.1234
1164,0.120667
1165,0.118
1166,0.115167
1167,0.1146
1168,0.111667
1169,0.1085
1170,0.1044
1171,0.102167
1172,0.1002
1173,0.0975
1174,0.0956
1175,0.094167
1176,0.093
1177,0.091
1178,0.089
1179,0.0874
1180,0.085667
1181,0.0846
1182,0.081667
1183,0.0788
1184,0.0755
1185,0.073833
1186,0.0734
1187,0.073
1188,0.0702
1189,0.066833
1190,0.0652
1191,0.064167
1192,0.0624
1193,0.060333
1194,0.059
1195,0.0552
1196,0.050667
1197,0.0518
1198,0.051667
1199,0.0492
1200,0.047167
1201,0.0454
1202,0.0425
1203,0.0395
1204,0.0366
1205,0.036167
1206,0.034
1207,0.031333
1208,0.0302
1209,0.03
1210,0.029833
1211,0.0292
1212,0.026833
1213,0.0254
1214,0.024
1215,0.0224
1216,0.021167
1217,0.0198
1218,0.017
1219,0.014833
1220,0.014
1221,0.013
1222,0.0118
1223,0.011
1224,0.01
1225,0.009
1226,0.007833
1227,0.0072
1228,0.007
1229,0.0066
1230,0.006333
1231,0.0058
1232,0.005333
1233,0.0044
1234,0.004
1235,0.004
1236,0.0034
1237,0.003
1238,0.003
1239,0.002
1240,0.001
1241,0.001
1242,0.0008
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
