"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
2486, -103.239683802374, 32.4790274056549, 150.713654974164, 391.334499898328, 4.56722626613146, 7.64751665086399, 51.4552478668529
2487, -51.6387898082054, 31.8503219061769, 150.713654974164, 391.334499898328, 1.951621139565, 6.31912568948867, 51.4552478668529
2488, -19.2404428778559, 32.9225443601321, 150.713654974164, 391.334499898328, 1.14885236096235, 5.92952942120813, 51.4552478668529
2489, 3.22729683707159, 34.7930976551052, 150.713654974164, 391.334499898328, 0.997102862020149, 5.86859927451328, 51.4552478668529
2490, 63.2772275733683, 37.382448881611, 150.713654974164, 391.334499898328, 1.95995882884449, 6.45906626109232, 51.4552478668529
2491, 82.7338932745048, 39.8337832956503, 150.713654974164, 391.334499898328, 2.75016093217191, 6.9107454237376, 51.4552478668529
2492, 93.0697503024061, 44.156657306306, 150.713654974164, 391.334499898328, 3.31600283128503, 7.23332626415064, 51.4552478668529
2493, 103.297283866387, 48.4485224493193, 150.713654974164, 391.334499898328, 3.94345395569017, 7.59090777364342, 51.4552478668529
2494, 97.2178251847712, 45.8926386515561, 150.713654974164, 391.334499898328, 3.56235597499609, 7.37371957283617, 51.4552478668529
2495, 81.2346307648496, 39.165441537526, 150.713654974164, 391.334499898328, 2.67333075314981, 6.86681523154762, 51.4552478668529
2496, 61.7487152907638, 31.0163190287852, 150.713654974164, 391.334499898328, 1.81009442965321, 6.37469007820301, 51.4552478668529
2497, 23.1565706478877, 24.2590941103674, 150.713654974164, 391.334499898328, 0.923996701431577, 5.8518018093977, 51.4552478668529
2498, 14.592228505248, 21.1527334113423, 150.713654974164, 391.334499898328, 0.826101162417148, 5.79225288671105, 51.4552478668529
2499, 8.83755579102999, 19.7824141957909, 150.713654974164, 391.334499898328, 0.801616490062554, 5.77139400704612, 51.4552478668529
2500, 5.83464572230876, 19.31418697771, 150.713654974164, 391.334499898328, 0.803110077821349, 5.76664129734635, 51.4552478668529
2501, 1.23557692305138, 19.9482257184197, 150.713654974164, 391.334499898328, 0.788289716601851, 5.76443357054578, 51.4552478668529
2502, -41.8934929185928, 22.6697411627016, 150.713654974164, 391.334499898328, 1.49963402906727, 6.10045009350598, 51.4552478668529
2503, -107.849563157911, 28.9692504435779, 150.713654974164, 391.334499898328, 4.92394490790566, 7.80157855272034, 51.4552478668529
2504, -102.710208543788, 31.6724681081029, 150.713654974164, 391.334499898328, 4.58101688421166, 7.63650786551588, 51.4552478668529
2505, -102.168837328768, 32.720296328098, 150.713654974164, 391.334499898328, 4.57836917971692, 7.62965818453852, 51.4552478668529
2506, -93.3781821749817, 32.7076526364222, 150.713654974164, 391.334499898328, 4.20569902743228, 7.38127116996859, 51.4552478668529
2507, -147.356313098951, 34.4392012083841, 150.713654974164, 391.334499898328, 8.43201748821313, 9.53385577999322, 51.4552478668529
2508, -183.156757018524, 35.9331130654013, 150.713654974164, 391.334499898328, 12.1508887835878, 11.4652311977596, 51.4552478668529
2509, -186.086595027879, 36.1348124756973, 150.713654974164, 391.334499898328, 12.4769463548414, 11.6393975450742, 51.4552478668529
2510, -157.04448692359, 34.8436307533401, 150.713654974164, 391.334499898328, 9.34335288366254, 10.0126550409433, 51.4552478668529
2511, -132.802763442057, 34.4019935652708, 150.713654974164, 391.334499898328, 7.15813109810398, 8.87165901177765, 51.4552478668529
2512, -86.9945838708721, 34.2185948770718, 150.713654974164, 391.334499898328, 3.92795246653226, 7.2168739362758, 51.4552478668529
2513, -9.18381835444878, 34.829483196319, 150.713654974164, 391.334499898328, 1.10009447620248, 5.899169899285, 51.4552478668529
2514, 49.109064224156, 37.1350678378319, 150.713654974164, 391.334499898328, 1.52488723150562, 6.21610903131367, 51.4552478668529
2515, 82.4714432248113, 39.8243647552183, 150.713654974164, 391.334499898328, 2.73770375490889, 6.90394584793294, 51.4552478668529
2516, 92.4612259289922, 44.1389102944579, 150.713654974164, 391.334499898328, 3.28364770140915, 7.21564355073395, 51.4552478668529
2517, 102.597137470477, 48.4257921437389, 150.713654974164, 391.334499898328, 3.90198159039373, 7.56825051486702, 51.4552478668529
2518, 97.5798803028407, 45.903618482732, 150.713654974164, 391.334499898328, 3.58265318320314, 7.38479065572616, 51.4552478668529
2519, 81.5276146308667, 39.1730914282711, 150.713654974164, 391.334499898328, 2.68697880571188, 6.87426045640351, 51.4552478668529
2520, 60.7776998166238, 30.9983441052072, 150.713654974164, 391.334499898328, 1.77650505673089, 6.35632430422859, 51.4552478668529
2521, 43.7049534575222, 24.4536478333662, 150.713654974164, 391.334499898328, 1.23096855562487, 6.04621963175218, 51.4552478668529
2522, 35.7726303962491, 21.2973388049561, 150.713654974164, 391.334499898328, 1.03825072678945, 5.93670172491026, 51.4552478668529
2523, 32.0483564531398, 19.9024820100054, 150.713654974164, 391.334499898328, 0.961792954764316, 5.89335606192882, 51.4552478668529
2524, 30.6868357083769, 19.4258256702136, 150.713654974164, 391.334499898328, 0.936205026197743, 5.87886012461948, 51.4552478668529
2525, 25.0961095132459, 20.014530172426, 150.713654974164, 391.334499898328, 0.859724959271814, 5.8359192253327, 51.4552478668529
2526, 22.9130366321033, 22.3991929082006, 150.713654974164, 391.334499898328, 0.855163183177278, 5.83240104784325, 51.4552478668529
2527, 26.7577195426607, 27.0552952458783, 150.713654974164, 391.334499898328, 0.953654537900596, 5.88715067719767, 51.4552478668529
2528, 22.3017535614998, 29.9136616687014, 150.713654974164, 391.334499898328, 0.945964629697148, 5.87762900101947, 51.4552478668529
2529, 13.1332568518919, 30.9349256409772, 150.713654974164, 391.334499898328, 0.903491898119549, 5.84393660550906, 51.4552478668529
2530, 5.28529193961188, 31.1579210265418, 150.713654974164, 391.334499898328, 0.898720818160964, 5.83153944563364, 51.4552478668529
2531, -80.4106848929566, 31.8538547766125, 150.713654974164, 391.334499898328, 3.22589404884031, 6.95672618072502, 51.4552478668529
2532, -82.5544720714651, 31.4786284974683, 150.713654974164, 391.334499898328, 3.33475475213513, 7.01194258671409, 51.4552478668529
2533, -111.101373922114, 32.4211167561693, 150.713654974164, 391.334499898328, 5.13385145004005, 7.92976722118964, 51.4552478668529
2534, -56.701021963149, 31.2452834846096, 150.713654974164, 391.334499898328, 2.14319389237937, 6.41036653750546, 51.4552478668529
2535, -39.1917639312135, 31.6611860986775, 150.713654974164, 391.334499898328, 1.58268384741772, 6.13005820836953, 51.4552478668529
2536, 36.3959190567129, 33.0222647454972, 150.713654974164, 391.334499898328, 1.18598582505188, 6.01980498560903, 51.4552478668529
2537, 53.5212746502472, 35.1948822136989, 150.713654974164, 391.334499898328, 1.61049266882632, 6.26549250831127, 51.4552478668529
