"Hour", 20kV_Phs_1_Max, 20kV_Phs_2_Max, 20kV_Phs_3_Max, 20kV_Phs_1_Min, 20kV_Phs_2_Min, 20kV_Phs_3_Min, 20kV_Phs_1_Avg, 20kV_Phs_2_Avg, 20kV_Phs_3_Avg, 0.4kV_Phs_1_Max, 0.4kV_Phs_2_Max, 0.4kV_Phs_3_Max, 0.4kV_Phs_1_Min, 0.4kV_Phs_2_Min, 0.4kV_Phs_3_Min, 0.4kV_Phs_1_Avg, 0.4kV_Phs_2_Avg, 0.4kV_Phs_3_Avg
4730, 0.999903709041278, 0.999905888706717, 0.99990471076664, 0.999903709041278, 0.999905888706717, 0.99990471076664, 0.999903709041278, 0.999905888706717, 0.99990471076664, 0.981453323796348, 0.980875819368741, 0.98077183047447, 0.966725095351055, 0.967252380974002, 0.967750655677508, 0.972420283197433, 0.97268249742642, 0.972858038960372
4731, 0.999936956769355, 0.999938938042053, 0.999937874260368, 0.999936956769355, 0.999938938042053, 0.999937874260368, 0.999936956769355, 0.999938938042053, 0.999937874260368, 0.986813539226002, 0.985822751194178, 0.985493722561687, 0.969978810621267, 0.970320667972167, 0.970640597022055, 0.975185416120916, 0.975238820268641, 0.975295592061081
4732, 0.999959961136027, 0.999961629489155, 0.999960677630067, 0.999959961136027, 0.999961629489155, 0.999960677630067, 0.999959961136027, 0.999961629489155, 0.999960677630067, 0.99002527861413, 0.988786145823892, 0.988319293978781, 0.971420932329321, 0.972018593770697, 0.972124069784337, 0.977110296119147, 0.976990091081651, 0.976972666732821
4733, 1.00005250466287, 1.00005210374718, 1.0000517295787, 1.00005250466287, 1.00005210374718, 1.0000517295787, 1.00005250466287, 1.00005210374718, 1.0000517295787, 1.00087103533732, 0.998781877005209, 0.997942367635071, 0.975681005617213, 0.974533861191587, 0.975228562743193, 0.984989336618317, 0.984019737064551, 0.983746136968239
4734, 1.00010086639942, 1.00009930015482, 1.00009920863355, 1.00010086639942, 1.00009930015482, 1.00009920863355, 1.00010086639942, 1.00009930015482, 1.00009920863355, 1.00728445028519, 1.00506577014568, 1.0040371979612, 0.976293477937701, 0.975677941752571, 0.976061673148424, 0.989256128474329, 0.987801163213985, 0.987401918699704
4735, 1.00018082878328, 1.00017667102161, 1.00017716648128, 1.00018082878328, 1.00017667102161, 1.00017716648128, 1.00018082878328, 1.00017667102161, 1.00017716648128, 1.01655049325052, 1.01374106314217, 1.01238608219651, 0.976896946808263, 0.976600991683379, 0.976475125272439, 0.996234191079881, 0.993884524065239, 0.993317356981289
4736, 1.00026157273357, 1.00025604812368, 1.00025684823548, 1.00026157273357, 1.00025604812368, 1.00025684823548, 1.00026157273357, 1.00025604812368, 1.00025684823548, 1.02963911592001, 1.02602243262173, 1.02423299548147, 0.977498843885033, 0.977105122777604, 0.976931454222127, 1.00365049049188, 1.00052375844613, 0.999743828523895
4737, 1.00037505016089, 1.00036829457098, 1.00036944998188, 1.00037505016089, 1.00036829457098, 1.00036944998188, 1.00037505016089, 1.00036829457098, 1.00036944998188, 1.04833170498, 1.04362705097205, 1.04122851484178, 0.978472171277733, 0.97796865753226, 0.977730888420664, 1.01395054579922, 1.00986413166986, 1.00876974108044
4738, 1.0004414759809, 1.00043443390579, 1.00043572835074, 1.0004414759809, 1.00043443390579, 1.00043572835074, 1.0004414759809, 1.00043443390579, 1.00043572835074, 1.06037019731685, 1.0549929395524, 1.05221320396234, 0.979041199875021, 0.97848669825042, 0.978214093420951, 1.02010073478509, 1.01550092761458, 1.01421046186548
4739, 1.00045714904289, 1.00045100994491, 1.00045215326387, 1.00045714904289, 1.00045100994491, 1.00045215326387, 1.00045714904289, 1.00045100994491, 1.00045215326387, 1.06649229386006, 1.06077338434407, 1.05781069349692, 0.979158670059596, 0.978625268539144, 0.978346226515567, 1.02188989108624, 1.01726436480194, 1.01588392907606
4740, 1.00051231427684, 1.00050661035449, 1.00050778648438, 1.00051231427684, 1.00050661035449, 1.00050778648438, 1.00051231427684, 1.00050661035449, 1.00050778648438, 1.07800987082918, 1.07168475874057, 1.06836452186685, 0.979671244547959, 0.979120424974122, 0.978813785467445, 1.02709658441021, 1.02213720799169, 1.02056778281529
4741, 1.00032464659138, 1.00032029228787, 1.00032082536975, 1.00032464659138, 1.00032029228787, 1.00032082536975, 1.00032464659138, 1.00032029228787, 1.00032082536975, 1.04793826528316, 1.04323624796306, 1.04087861501512, 0.977843945682247, 0.977442820612098, 0.977240023063708, 1.01039027782958, 1.00684126309938, 1.00580176634328
4742, 1.0002620020195, 1.00025840666424, 1.0002586620457, 1.0002620020195, 1.00025840666424, 1.0002586620457, 1.0002620020195, 1.00025840666424, 1.0002586620457, 1.03883062560732, 1.03465033325683, 1.03259376780162, 0.977193053762758, 0.976847652598488, 0.976683388091512, 1.00497187714464, 1.00191485711084, 1.00104768895269
4743, 1.00025962346998, 1.00025563669379, 1.00025596076149, 1.00025962346998, 1.00025563669379, 1.00025596076149, 1.00025962346998, 1.00025563669379, 1.00025596076149, 1.03741267840468, 1.03331061284932, 1.03129925509693, 0.977140037277819, 0.976780255302728, 0.976617270884722, 1.00470638821908, 1.00161246611909, 1.00077068137956
4744, 1.00016341607254, 1.0001608352032, 1.00016067946383, 1.00016341607254, 1.0001608352032, 1.00016067946383, 1.00016341607254, 1.0001608352032, 1.00016067946383, 1.02418585412484, 1.02086583786587, 1.01930361123954, 0.976100953516603, 0.974939492324489, 0.975730328960574, 0.996520868083388, 0.994195427133823, 0.993617591003347
4745, 1.00002890031173, 1.0000276325354, 1.00002697658862, 1.00002890031173, 1.0000276325354, 1.00002697658862, 1.00002890031173, 1.0000276325354, 1.00002697658862, 1.0029690555854, 1.00097004176213, 1.00013601495885, 0.973145435983318, 0.971366509264524, 0.972867364685155, 0.984871270104284, 0.983554320970491, 0.983395080378514
4746, 0.999814197065293, 0.999815651441558, 0.999814158610044, 0.999814197065293, 0.999815651441558, 0.999814158610044, 0.999814197065293, 0.999815651441558, 0.999814158610044, 0.97228992343786, 0.972274866958663, 0.972431374767735, 0.957618266838757, 0.958686553919438, 0.959760516396597, 0.966215939285667, 0.96661577133771, 0.967156447112092
4747, 0.999742770336975, 0.999745552488399, 0.999743666995657, 0.999742770336975, 0.999745552488399, 0.999743666995657, 0.999742770336975, 0.999745552488399, 0.999743666995657, 0.971447373275229, 0.971491934936961, 0.971709241334365, 0.94698031740105, 0.948983723018079, 0.950552694282103, 0.960223791508107, 0.961217477936792, 0.961987683190645
4748, 0.999639957947112, 0.999645131785957, 0.999642545019362, 0.999639957947112, 0.999645131785957, 0.999642545019362, 0.999639957947112, 0.999645131785957, 0.999642545019362, 0.970222331977351, 0.970365862203813, 0.970676769736125, 0.931320608520868, 0.934782566806471, 0.937115399973155, 0.95170264746174, 0.953605868379916, 0.954705265990429
